sps/test/Co60_Cs137/60s/15cm/202275_173825_Cs-137_Co-60_60s_15cm.sps                                 5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 1.0, 'Sodium-22 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/60s/50cm/202275_17461_Cs-137_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.927, 'Cobalt-60 ': 0.532, 'Sodium-22 ': 0.034, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/60s/50cm/202275_174916_Cs-137_Co-60_60s_50cm.sps                                 5  bps mllgr          {'Caesium-137 ': 0.898, 'Cobalt-60 ': 0.563, 'Sodium-22 ': 0.045, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/60s/50cm/202275_174811_Cs-137_Co-60_60s_50cm.sps                                 5  bps mllgr          {'Caesium-137 ': 0.901, 'Cobalt-60 ': 0.464, 'Sodium-22 ': 0.065, 'Americium-241 ': 0.0}
sps/test/Co60_Cs137/60s/50cm/202275_17476_Cs-137_Co-60_60s_50cm.sps                                  5  bps mllgr          {'Caesium-137 ': 0.915, 'Cobalt-60 ': 0.44, 'Sodium-22 ': 0.047, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/15cm/2022628_174128_Co-60_Na-22_Cs-137_5s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.996, 'Sodium-22 ': 0.169, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/15cm/2022628_174134_Co-60_Na-22_Cs-137_5s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.994, 'Sodium-22 ': 0.267, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/15cm/2022628_174140_Co-60_Na-22_Cs-137_5s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.984, 'Sodium-22 ': 0.539, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/15cm/2022628_174147_Co-60_Na-22_Cs-137_5s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 0.999, 'Caesium-137 ': 0.996, 'Sodium-22 ': 0.246, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/50cm/2022628_174321_Co-60_Na-22_Cs-137_5s_50cm.sps                       5  bps mllgr          {'Caesium-137 ': 0.831, 'Sodium-22 ': 0.619, 'Cobalt-60 ': 0.491, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/50cm/2022628_174310_Co-60_Na-22_Cs-137_5s_50cm.sps                       5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.871, 'Cobalt-60 ': 0.108, 'Americium-241 ': 0.0}
